Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
362.0,0.2990982308971623,0.0767381466607461,0.0,0.0026282713680501105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159144138
362.1,0.3025367068831589,0.07808679319142653,0.0,0.0026317775938356418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159131158
362.2,0.30574709182878235,0.07944281904359393,0.0,0.0026351398768717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159118245
362.3,0.30880612397030166,0.08080597204713026,0.0,0.002638359500589171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159105398
362.4,0.31177457928457886,0.08217600095488475,0.0,0.002641438553512802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159092619
362.5,0.3146495019662139,0.08355265189531881,0.0,0.002644378048730943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159079906
362.6,0.3174279425190103,0.08493567313117499,0.0,0.0026471795357927885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159067259
362.7,0.3201069558325167,0.08632481410728808,0.0,0.0026498445967402767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15905468
362.8,0.3226835888111748,0.0877198215366537,0.0,0.002652374746223475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159042167
362.9,0.3251548953934743,0.08912044418368441,0.0,0.0026547715480173617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159029721
363.0,0.32751792853942313,0.09052643071843197,0.0,0.002657036296515305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159017342
363.1,0.32976973944218935,0.0919375286338063,0.0,0.0026591705205648254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159005029
363.2,0.3319073844075997,0.09335348699875651,0.0,0.0026611757816320547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158992783
363.3,0.33392791797904053,0.09474374866013274,0.0,0.0026630536236946774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158980604
363.4,0.33582839320569097,0.09613849825270744,0.0,0.002664805573178754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158968491
363.5,0.3376058679449433,0.09753761124499466,0.0,0.002666432685571532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158956445
363.6,0.33925739855996967,0.09894096187677424,0.0,0.002667937006242343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158944466
363.7,0.3407800426917201,0.10034842547408969,0.0,0.0026693198242625886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158932554
363.8,0.3421708553507388,0.10175987608002506,0.0,0.002670582411211154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158920708
363.9,0.34342689674190074,0.1031751893941942,0.0,0.002671726575085616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158908929
364.0,0.3445452258273242,0.10459423985023021,0.0,0.0026727536028001452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158897217
364.1,0.3455229017513833,0.10601690296559851,9.895752688906671e-05,0.0026736650323157043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158885572
364.2,0.34635698234494106,0.10744305328242626,0.00016831188795046756,0.002674462384020475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158873993
364.3,0.3470445295989416,0.10887256568689826,0.00024075151334982986,0.002675147211226746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158862481
364.4,0.347582602337795,0.1103053154855589,0.0003162702603693716,0.0026757205295298674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158851035
