Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
362,0.857140279,0.221733489,0,0.010424383,0,0,0,0,0,0,0,0,0.159144138
362.1,0.867064805,0.225648783,0,0.010439141,0,0,0,0,0,0,0,0,0.159131158
362.2,0.876336823,0.229585945,0,0.010453326,0,0,0,0,0,0,0,0,0.159118245
362.3,0.885176134,0.233544248,0,0.010466943,0,0,0,0,0,0,0,0,0.159105398
362.4,0.893756836,0.237522963,0,0.01048,0,0,0,0,0,0,0,0,0.159092619
362.5,0.902070393,0.241521359,0,0.010492501,0,0,0,0,0,0,0,0,0.159079906
362.6,0.910108274,0.245538708,0,0.010504452,0,0,0,0,0,0,0,0,0.159067259
362.7,0.917861947,0.249574282,0,0.010515859,0,0,0,0,0,0,0,0,0.15905468
362.8,0.925322878,0.253627351,0,0.010526728,0,0,0,0,0,0,0,0,0.159042167
362.9,0.932482534,0.257697186,0,0.010537065,0,0,0,0,0,0,0,0,0.159029721
363,0.939332383,0.261783059,0,0.010546875,0,0,0,0,0,0,0,0,0.159017342
363.1,0.945863892,0.26588424,0,0.010556164,0,0,0,0,0,0,0,0,0.159005029
363.2,0.952068529,0.27,0,0.010564938,0,0,0,0,0,0,0,0,0.158992783
363.3,0.957937761,0.274041952,0,0.010573203,0,0,0,0,0,0,0,0,0.158980604
363.4,0.963463055,0.27809739,0,0.010580965,0,0,0,0,0,0,0,0,0.158968491
363.5,0.968635878,0.28216595,0,0.010588228,0,0,0,0,0,0,0,0,0.158956445
363.6,0.973447697,0.286247266,0,0.010595,0,0,0,0,0,0,0,0,0.158944466
363.7,0.977889981,0.290340975,0,0.010601286,0,0,0,0,0,0,0,0,0.158932554
363.8,0.981954196,0.294446712,0,0.010607091,0,0,0,0,0,0,0,0,0.158920708
363.9,0.985631809,0.298564113,0,0.010612422,0,0,0,0,0,0,0,0,0.158908929
364,0.988914288,0.302692812,0,0.010617284,0,0,0,0,0,0,0,0,0.158897217
364.1,0.9917931,0.306832446,0.000249142,0.010621683,0,0,0,0,0,0,0,0,0.158885572
