Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
350,0.064596518,0.035263158,0,0,0,0,0,0,0,0,0,0,0
350.1,0.068423979,0.035526316,0,0,0,0,0,0,0,0,0,0,0
350.2,0.072448566,0.035789474,0,0,0,0,0,0,0,0,0,0,0
350.3,0.07666017,0.036052632,0,0,0,0,0,0,0,0,0,0,0
350.4,0.081048682,0.036315789,0,0,0,0,0,0,0,0,0,0,0
350.5,0.085603992,0.036578947,0,0,0,0,0,0,0,0,0,0,0
350.6,0.090315993,0.036842105,0,0,0,0,0,0,0,0,0,0,0
350.7,0.095174573,0.037105263,0,0,0,0,0,0,0,0,0,0,0
350.8,0.100169626,0.037368421,0,0,0,0,0,0,0,0,0,0,0
350.9,0.105291041,0.037631579,0,0,0,0,0,0,0,0,0,0,0
351,0.11052871,0.037894737,0,0,0,0,0,0,0,0,0,0,0
351.1,0.115872524,0.038157895,0,0,0,0,0,0,0,0,0,0,0
351.2,0.121312373,0.038421053,0,0,0,0,0,0,0,0,0,0,0
351.3,0.126838149,0.038684211,0,0,0,0,0,0,0,0,0,0,0
351.4,0.132439742,0.038947368,0,0,0,0,0,0,0,0,0,0,0
351.5,0.138107044,0.039210526,0,0,0,0,0,0,0,0,0,0,0
351.6,0.143829946,0.039473684,0,0,0,0,0,0,0,0,0,0,0
351.7,0.149598338,0.039736842,0,0,0,0,0,0,0,0,0,0,0
351.8,0.155402112,0.04,0,0,0,0,0,0,0,0,0,0,0
351.9,0.161231158,0.039956353,0,0,0,0,0,0,0,0,0,0,0
352,0.167075368,0.039913982,0,0,0,0,0,0,0,0,0,0,0
352.1,0.172830189,0.039874162,0,0,0,0,0,0,0,0,0,0,0
352.2,0.178490566,0.039838169,0,0,0,0,0,0,0,0,0,0,0
352.3,0.184150943,0.039807279,0,0,0,0,0,0,0,0,0,0,0
352.4,0.189811321,0.039782767,0,0,0,0,0,0,0,0,0,0,0
352.5,0.195471698,0.03976591,0,0,0,0,0,0,0,0,0,0,0
352.6,0.201132075,0.039757982,0,0,0,0,0,0,0,0,0,0,0
352.7,0.206792453,0.03976026,0,0,0,0,0,0,0,0,0,0,0
352.8,0.21245283,0.03977402,0,0,0,0,0,0,0,0,0,0,0
352.9,0.218113208,0.039800536,0,0,0,0,0,0,0,0,0,0,0
353,0.223773585,0.039841085,0,0,0,0,0,0,0,0,0,0,0
353.1,0.229433962,0.039896942,0,0,0,0,0,0,0,0,0,0,0
353.2,0.235096316,0.039969383,0,0,0,0,0,0,0,0,0,0,0
353.3,0.240758785,0.040059684,0,0,0,0,0,0,0,0,0,0,0
353.4,0.24642103,0.040169121,0,0,0,0,0,0,0,0,0,0,0
353.5,0.252082932,0.040298969,0,0,0,0,0,0,0,0,0,0,0
353.6,0.257744373,0.040450503,0,0,0,0,0,0,0,0,0,0,0
353.7,0.263405235,0.040625,0,0,0,0,0,0,0,0,0,0,0
353.8,0.269065401,0.040823735,0,0,0,0,0,0,0,0,0,0,0
353.9,0.274724751,0.041047984,0,0,0,0,0,0,0,0,0,0,0
354,0.280383168,0.041299023,0,0,0,0,0,0,0,0,0,0,0
354.1,0.286040533,0.041578127,0,0,0,0,0,0,0,0,0,0,0
354.2,0.291622518,0.041886572,0,0,0,0,0,0,0,0,0,0,0
354.3,0.297029571,0.042225634,0,0,0,0,0,0,0,0,0,0,0
354.4,0.302443095,0.042596588,0,0,0,0,0,0,0,0,0,0,0
354.5,0.307874225,0.043000711,0,0,0,0,0,0,0,0,0,0,0
354.6,0.313334098,0.043439277,0,0,0,0,0,0,0,0,0,0,0.178002972
354.7,0.318833848,0.043913562,0,0,0,0,0,0,0,0,0,0,0.178012134
354.8,0.32438461,0.044424843,0,0,0,0,0,0,0,0,0,0,0.178021105
354.9,0.329997521,0.044974395,0,0,0,0,0,0,0,0,0,0,0.178029888
355,0.335683714,0.045563493,0,0,0,0,0,0,0,0,0,0,0.178038482
355.1,0.341454326,0.046193414,0,0,0,0,0,0,0,0,0,0,0.17804689
355.2,0.347320491,0.046865432,0,0,0,0,0,0,0,0,0,0,0.178055112
355.3,0.353293345,0.047580824,0,0,0,0,0,0,0,0,0,0,0.178063148
355.4,0.359384023,0.048340866,0,0,0,0,0,0,0,0,0,0,0.178071001
